ID,CODIGO DE LA ENTIDAD,CODIGO UBIGEO INEI,CODIGO PAIS ,NOMBRE DE LA UO,Fecha,CO (ug/m3),H2S (ug/m3),NO2 (ug/m3),O3 (ug/m3),"PM10 
(ug/m3)","PM2.5 
(ug/m3)",SO2 (ug/m3),Ruido (dB),UV,Humedad (%),Latitud,Longitud,"Presion 
(Pa)",Temperatura (C)
17,10069,150122,PE,Subgerencia de Desarrollo Ambiental,3/20/21 16:00,2928.41,38.17,44.67,,3.07,1.50,39.29,88.53,1.68,76.97,-12.04028,-77.04361,999.67,25.35
18,10069,150122,PE,Subgerencia de Desarrollo Ambiental,3/20/21 17:00,2805.69,38.33,38.60,,4.88,1.92,38.17,86.79,0.54,77.88,-12.04028,-77.04361,999.67,24.77
19,10069,150122,PE,Subgerencia de Desarrollo Ambiental,3/20/21 18:00,2774.24,31.95,35.77,,5.72,2.09,34.39,85.43,0.17,77.04,-12.04028,-77.04361,999.85,23.78
20,10069,150122,PE,Subgerencia de Desarrollo Ambiental,3/20/21 19:00,3079.32,30.71,25.11,,8.90,2.74,33.01,84.67,0.00,77.72,-12.04028,-77.04361,1000.15,23.05
21,10069,150122,PE,Subgerencia de Desarrollo Ambiental,3/20/21 20:00,3778.60,34.59,24.19,,9.17,3.14,33.63,83.08,0.00,81.67,-12.04028,-77.04361,1000.51,22.67
22,10069,150122,PE,Subgerencia de Desarrollo Ambiental,3/20/21 21:00,3373.28,28.31,27.90,,8.07,3.07,32.36,79.84,0.00,87.19,-12.04028,-77.04361,1001.00,22.04
23,10069,150122,PE,Subgerencia de Desarrollo Ambiental,3/20/21 22:00,3052.44,22.72,27.51,,8.18,3.09,31.78,71.89,0.00,90.65,-12.04028,-77.04361,1001.49,21.51
24,10069,150122,PE,Subgerencia de Desarrollo Ambiental,3/20/21 23:00,2752.79,16.70,27.72,,8.12,3.19,29.40,62.29,0.00,93.14,-12.04028,-77.04361,1001.33,21.14
25,10069,150122,PE,Subgerencia de Desarrollo Ambiental,3/21/21 0:00,2733.00,15.44,18.44,,10.88,3.81,28.66,59.36,0.00,92.00,-12.04028,-77.04361,1001.16,21.47
26,10069,150122,PE,Subgerencia de Desarrollo Ambiental,3/21/21 1:00,2212.26,10.12,16.86,,11.35,4.33,28.26,53.63,0.00,95.77,-12.04028,-77.04361,1000.69,20.84
27,10069,150122,PE,Subgerencia de Desarrollo Ambiental,3/21/21 2:00,2276.38,8.52,3.95,,15.19,5.19,27.74,54.89,0.00,96.08,-12.04028,-77.04361,1000.27,20.54
28,10069,150122,PE,Subgerencia de Desarrollo Ambiental,3/21/21 3:00,2004.08,15.25,17.53,,11.15,3.91,27.39,55.20,0.00,96.10,-12.04028,-77.04361,999.93,19.85
29,10069,150122,PE,Subgerencia de Desarrollo Ambiental,3/21/21 4:00,2083.29,20.17,14.96,,11.92,4.23,27.28,51.31,0.00,96.10,-12.04028,-77.04361,999.78,19.74
30,10069,150122,PE,Subgerencia de Desarrollo Ambiental,3/21/21 5:00,2207.33,14.81,16.50,,11.46,4.38,27.60,51.99,0.00,96.10,-12.04028,-77.04361,999.86,19.83
31,10069,150122,PE,Subgerencia de Desarrollo Ambiental,3/21/21 6:00,2252.88,16.11,1.58,,15.90,5.42,27.90,56.89,0.00,96.10,-12.04028,-77.04361,1000.47,19.81
32,10069,150122,PE,Subgerencia de Desarrollo Ambiental,3/21/21 7:00,2465.11,10.36,3.45,,15.34,5.41,28.28,64.27,0.04,96.10,-12.04028,-77.04361,1001.31,20.09
33,10069,150122,PE,Subgerencia de Desarrollo Ambiental,3/21/21 8:00,2761.45,9.81,19.03,,10.71,4.17,28.60,66.63,0.15,94.07,-12.04028,-77.04361,1001.84,22.70
34,10069,150122,PE,Subgerencia de Desarrollo Ambiental,3/21/21 9:00,2719.44,11.69,15.97,,11.62,4.74,28.90,72.30,0.29,86.83,-12.04028,-77.04361,1002.38,23.38
35,10069,150122,PE,Subgerencia de Desarrollo Ambiental,3/21/21 10:00,2623.20,11.76,32.36,,6.74,2.98,29.54,77.42,0.33,88.17,-12.04028,-77.04361,1002.62,22.80
36,10069,150122,PE,Subgerencia de Desarrollo Ambiental,3/21/21 11:00,2675.34,13.30,36.08,,5.63,2.65,30.48,80.72,0.50,90.06,-12.04028,-77.04361,1002.77,22.23
37,10069,150122,PE,Subgerencia de Desarrollo Ambiental,3/21/21 12:00,3060.86,17.21,36.90,,5.39,2.46,33.50,77.17,2.74,84.87,-12.04028,-77.04361,1002.36,23.56
38,10069,150122,PE,Subgerencia de Desarrollo Ambiental,3/21/21 13:00,3168.67,22.18,36.03,,5.65,2.45,35.28,82.64,1.34,79.45,-12.04028,-77.04361,1002.03,24.41
39,10069,150122,PE,Subgerencia de Desarrollo Ambiental,3/21/21 14:00,2817.87,19.74,42.79,,3.64,1.93,35.64,83.17,2.45,82.17,-12.04028,-77.04361,1001.62,23.54
40,10069,150122,PE,Subgerencia de Desarrollo Ambiental,3/21/21 15:00,2786.11,20.72,41.50,,4.02,2.07,36.00,81.42,1.72,81.53,-12.04028,-77.04361,1001.26,23.60
41,10069,150122,PE,Subgerencia de Desarrollo Ambiental,3/21/21 16:00,2725.30,19.21,37.18,,5.30,2.32,32.94,76.48,0.72,79.94,-12.04028,-77.04361,1000.91,23.39
42,10069,150122,PE,Subgerencia de Desarrollo Ambiental,3/21/21 17:00,2584.40,17.66,33.08,,6.52,2.75,31.78,77.43,0.49,82.30,-12.04028,-77.04361,1000.87,22.80
43,10069,150122,PE,Subgerencia de Desarrollo Ambiental,3/21/21 18:00,2787.68,18.33,29.45,,7.61,3.38,31.49,74.81,0.13,88.49,-12.04028,-77.04361,1001.33,21.99
44,10069,150122,PE,Subgerencia de Desarrollo Ambiental,3/21/21 19:00,2692.42,15.29,18.79,,10.78,4.06,30.13,74.42,0.00,90.56,-12.04028,-77.04361,1002.16,21.55
45,10069,150122,PE,Subgerencia de Desarrollo Ambiental,3/21/21 20:00,2855.24,15.18,16.90,,11.34,4.18,30.21,73.87,0.00,92.07,-12.04028,-77.04361,1002.87,21.52
46,10069,150122,PE,Subgerencia de Desarrollo Ambiental,3/21/21 21:00,2808.14,12.98,17.66,,11.11,4.08,29.82,72.09,0.00,92.82,-12.04028,-77.04361,1003.44,21.30
47,10069,150122,PE,Subgerencia de Desarrollo Ambiental,3/21/21 22:00,2525.65,9.60,15.09,,11.88,4.17,29.10,68.21,0.00,92.88,-12.04028,-77.04361,1003.82,21.06
48,10069,150122,PE,Subgerencia de Desarrollo Ambiental,3/21/21 23:00,2244.13,5.50,28.82,,7.79,3.33,27.91,63.83,0.00,95.75,-12.04028,-77.04361,1004.10,20.36
49,10069,150122,PE,Subgerencia de Desarrollo Ambiental,3/22/21 0:00,2311.60,4.41,28.48,,7.89,3.50,27.75,55.90,0.00,95.88,-12.04028,-77.04361,1003.52,20.52
50,10069,150122,PE,Subgerencia de Desarrollo Ambiental,3/22/21 1:00,1835.49,3.84,17.62,,11.12,4.16,27.78,52.56,0.00,94.34,-12.04028,-77.04361,1002.57,20.77
51,10069,150122,PE,Subgerencia de Desarrollo Ambiental,3/22/21 2:00,1886.90,3.78,27.14,,8.29,3.59,27.47,52.66,0.00,93.37,-12.04028,-77.04361,1001.73,20.97
52,10069,150122,PE,Subgerencia de Desarrollo Ambiental,3/22/21 3:00,1842.57,3.72,20.22,,10.35,4.18,27.36,52.45,0.00,93.84,-12.04028,-77.04361,1001.27,20.88
53,10069,150122,PE,Subgerencia de Desarrollo Ambiental,3/22/21 4:00,1830.19,3.26,23.14,,9.48,3.91,27.27,51.18,0.00,95.64,-12.04028,-77.04361,1000.88,20.81
54,10069,150122,PE,Subgerencia de Desarrollo Ambiental,3/22/21 5:00,1918.79,3.49,25.42,,8.81,3.65,27.24,52.97,0.00,95.34,-12.04028,-77.04361,1000.89,21.04
55,10069,150122,PE,Subgerencia de Desarrollo Ambiental,3/22/21 6:00,1868.30,4.36,6.14,,14.54,5.24,27.56,66.99,0.00,95.91,-12.04028,-77.04361,1001.36,20.47
56,10069,150122,PE,Subgerencia de Desarrollo Ambiental,3/22/21 7:00,2264.57,9.80,10.03,,13.38,4.96,28.60,80.40,0.05,96.10,-12.04028,-77.04361,1001.99,20.23
57,10069,150122,PE,Subgerencia de Desarrollo Ambiental,3/22/21 8:00,2637.90,13.38,20.18,,10.36,4.13,30.00,82.91,0.24,95.04,-12.04028,-77.04361,1002.80,21.58
58,10069,150122,PE,Subgerencia de Desarrollo Ambiental,3/22/21 9:00,3046.63,15.16,15.79,,11.67,4.44,31.37,84.44,0.26,86.47,-12.04028,-77.04361,1003.19,23.26
59,10069,150122,PE,Subgerencia de Desarrollo Ambiental,3/22/21 10:00,3108.65,16.32,24.29,,9.14,3.70,32.25,85.86,0.30,86.69,-12.04028,-77.04361,1003.11,23.12
60,10069,150122,PE,Subgerencia de Desarrollo Ambiental,3/22/21 11:00,2982.66,15.75,32.58,,6.67,3.06,33.75,88.04,0.50,87.74,-12.04028,-77.04361,1002.74,22.47
61,10069,150122,PE,Subgerencia de Desarrollo Ambiental,3/22/21 12:00,3106.99,17.77,32.30,,6.76,2.89,37.75,89.02,3.17,84.79,-12.04028,-77.04361,1002.43,23.27
62,10069,150122,PE,Subgerencia de Desarrollo Ambiental,3/22/21 13:00,2837.28,17.36,37.21,,5.30,2.52,37.81,88.96,1.37,86.05,-12.04028,-77.04361,1001.66,22.70
63,10069,150122,PE,Subgerencia de Desarrollo Ambiental,3/22/21 14:00,3013.71,18.28,39.90,,4.50,2.10,33.56,90.78,3.43,83.77,-12.04028,-77.04361,1000.78,23.09
64,10069,150122,PE,Subgerencia de Desarrollo Ambiental,3/22/21 15:00,3097.87,20.01,40.07,,4.44,2.00,49.34,88.89,2.50,79.27,-12.04028,-77.04361,1000.35,23.52
65,10069,150122,PE,Subgerencia de Desarrollo Ambiental,3/22/21 16:00,3199.77,22.27,37.10,,5.33,2.10,50.63,91.43,1.85,75.94,-12.04028,-77.04361,1000.10,24.56
66,10069,150122,PE,Subgerencia de Desarrollo Ambiental,3/22/21 17:00,2947.64,21.59,28.34,,7.93,2.54,45.69,89.88,0.48,73.70,-12.04028,-77.04361,1000.40,24.20
67,10069,150122,PE,Subgerencia de Desarrollo Ambiental,3/22/21 18:00,3150.33,23.01,27.82,,8.09,2.55,43.02,86.50,0.17,76.78,-12.04028,-77.04361,1000.96,23.21
68,10069,150122,PE,Subgerencia de Desarrollo Ambiental,3/22/21 19:00,2645.59,17.77,30.87,,7.18,2.82,37.30,85.76,0.01,85.97,-12.04028,-77.04361,1001.97,21.23
69,10069,150122,PE,Subgerencia de Desarrollo Ambiental,3/22/21 20:00,2432.71,12.62,37.43,,5.23,2.48,33.75,85.61,0.00,90.10,-12.04028,-77.04361,1002.85,20.61
70,10069,150122,PE,Subgerencia de Desarrollo Ambiental,3/22/21 21:00,2615.35,11.89,27.83,,8.09,3.11,32.85,80.05,0.00,88.43,-12.04028,-77.04361,1003.46,20.89
71,10069,150122,PE,Subgerencia de Desarrollo Ambiental,3/22/21 22:00,2262.06,7.32,27.46,,8.20,2.91,31.41,75.53,0.00,88.66,-12.04028,-77.04361,1003.80,20.84
72,10069,150122,PE,Subgerencia de Desarrollo Ambiental,3/22/21 23:00,1959.24,3.46,35.25,,5.88,2.48,29.72,67.72,0.00,90.83,-12.04028,-77.04361,1003.82,20.45
73,10069,150122,PE,Subgerencia de Desarrollo Ambiental,3/23/21 0:00,1955.94,2.59,36.93,,5.38,2.35,29.97,58.21,0.00,91.34,-12.04028,-77.04361,1003.47,20.44
74,10069,150122,PE,Subgerencia de Desarrollo Ambiental,3/23/21 1:00,1869.09,1.58,38.00,,5.06,2.25,29.09,60.39,0.00,92.21,-12.04028,-77.04361,1002.83,20.20
75,10069,150122,PE,Subgerencia de Desarrollo Ambiental,3/23/21 2:00,1892.82,7.72,34.51,,6.10,2.62,29.58,57.49,0.00,94.16,-12.04028,-77.04361,1002.38,19.89
76,10069,150122,PE,Subgerencia de Desarrollo Ambiental,3/23/21 3:00,1888.21,20.48,36.37,,5.55,2.45,28.51,56.85,0.00,95.89,-12.04028,-77.04361,1002.08,19.65
77,10069,150122,PE,Subgerencia de Desarrollo Ambiental,3/23/21 4:00,1993.83,29.58,26.01,,8.63,3.48,28.63,56.29,0.00,96.10,-12.04028,-77.04361,1001.68,19.51
78,10069,150122,PE,Subgerencia de Desarrollo Ambiental,3/23/21 5:00,2018.92,30.49,14.87,,11.94,4.46,29.16,52.97,0.00,96.10,-12.04028,-77.04361,1001.51,19.49
79,10069,150122,PE,Subgerencia de Desarrollo Ambiental,3/23/21 6:00,2123.22,44.44,13.53,,12.34,4.58,29.37,66.31,0.00,96.10,-12.04028,-77.04361,1001.73,19.26
80,10069,150122,PE,Subgerencia de Desarrollo Ambiental,3/23/21 7:00,2732.15,39.58,13.65,,12.31,4.58,31.28,79.23,0.04,96.10,-12.04028,-77.04361,1002.10,19.45
81,10069,150122,PE,Subgerencia de Desarrollo Ambiental,3/23/21 8:00,2896.59,21.11,21.87,,9.86,4.17,33.55,82.30,0.21,96.07,-12.04028,-77.04361,1002.75,20.46
82,10069,150122,PE,Subgerencia de Desarrollo Ambiental,3/23/21 9:00,2781.43,7.97,33.82,,6.31,2.81,34.58,85.08,0.51,93.06,-12.04028,-77.04361,1003.22,21.22
83,10069,150122,PE,Subgerencia de Desarrollo Ambiental,3/23/21 10:00,3101.68,11.17,28.85,,7.78,3.16,37.13,86.21,0.48,90.22,-12.04028,-77.04361,1003.28,21.80
84,10069,150122,PE,Subgerencia de Desarrollo Ambiental,3/23/21 11:00,3550.13,15.64,24.79,,8.99,3.32,38.01,87.22,0.66,82.75,-12.04028,-77.04361,1003.10,23.09
85,10069,150122,PE,Subgerencia de Desarrollo Ambiental,3/23/21 12:00,3204.76,15.48,42.06,,3.85,1.59,44.29,89.89,3.00,86.14,-12.04028,-77.04361,1002.59,22.29
86,10069,150122,PE,Subgerencia de Desarrollo Ambiental,3/23/21 13:00,2953.17,13.09,45.37,,2.87,1.34,42.46,91.87,1.72,89.02,-12.04028,-77.04361,1002.08,21.71
87,10069,150122,PE,Subgerencia de Desarrollo Ambiental,3/23/21 14:00,3214.25,14.86,42.71,,3.66,1.47,48.22,89.34,3.22,84.79,-12.04028,-77.04361,1001.21,22.77
88,10069,150122,PE,Subgerencia de Desarrollo Ambiental,3/23/21 15:00,3096.54,15.09,38.51,,4.91,1.92,49.49,95.32,2.85,78.58,-12.04028,-77.04361,1000.37,23.93
89,10069,150122,PE,Subgerencia de Desarrollo Ambiental,3/23/21 16:00,3502.06,19.86,35.92,,5.68,1.91,51.21,91.53,1.62,75.75,-12.04028,-77.04361,999.96,24.42
90,10069,150122,PE,Subgerencia de Desarrollo Ambiental,3/23/21 17:00,3367.30,20.55,33.17,,6.50,2.05,46.53,92.39,0.54,75.23,-12.04028,-77.04361,1000.21,24.14
91,10069,150122,PE,Subgerencia de Desarrollo Ambiental,3/23/21 18:00,2944.87,16.63,31.08,,7.12,2.04,39.38,92.29,0.22,78.53,-12.04028,-77.04361,1000.73,22.97
92,10069,150122,PE,Subgerencia de Desarrollo Ambiental,3/23/21 19:00,3122.78,16.83,12.67,,12.60,3.16,35.55,88.40,0.00,81.35,-12.04028,-77.04361,1001.50,22.25
93,10069,150122,PE,Subgerencia de Desarrollo Ambiental,3/23/21 20:00,2775.77,12.38,26.46,,8.50,2.76,34.03,87.21,0.00,85.46,-12.04028,-77.04361,1002.12,21.64
94,10069,150122,PE,Subgerencia de Desarrollo Ambiental,3/23/21 21:00,2520.55,8.95,41.43,,4.04,1.76,32.91,83.22,0.00,90.44,-12.04028,-77.04361,1002.79,20.98
95,10069,150122,PE,Subgerencia de Desarrollo Ambiental,3/23/21 22:00,2323.96,5.77,40.94,,4.19,1.77,31.72,77.16,0.00,92.44,-12.04028,-77.04361,1003.22,20.82
96,10069,150122,PE,Subgerencia de Desarrollo Ambiental,3/23/21 23:00,2184.84,3.21,38.47,,4.92,2.05,30.33,69.75,0.00,94.15,-12.04028,-77.04361,1003.25,20.55
97,10069,150122,PE,Subgerencia de Desarrollo Ambiental,3/24/21 0:00,1971.28,0.73,40.78,,4.23,1.84,29.32,73.61,0.00,96.03,-12.04028,-77.04361,1003.01,20.13
98,10069,150122,PE,Subgerencia de Desarrollo Ambiental,3/24/21 1:00,2055.97,0.91,39.39,,4.65,2.13,29.52,60.26,0.00,96.10,-12.04028,-77.04361,1002.50,20.05
99,10069,150122,PE,Subgerencia de Desarrollo Ambiental,3/24/21 2:00,2081.04,-0.35,28.61,,7.86,2.71,29.31,53.60,0.00,96.10,-12.04028,-77.04361,1001.96,20.14
100,10069,150122,PE,Subgerencia de Desarrollo Ambiental,3/24/21 3:00,2071.98,17.31,29.43,,7.61,2.86,29.39,56.21,0.00,96.10,-12.04028,-77.04361,1001.17,19.70
101,10069,150122,PE,Subgerencia de Desarrollo Ambiental,3/24/21 4:00,2149.75,19.39,35.49,,5.81,2.39,29.73,51.78,0.00,96.10,-12.04028,-77.04361,1000.81,19.66
102,10069,150122,PE,Subgerencia de Desarrollo Ambiental,3/24/21 5:00,2166.75,31.00,34.71,,6.04,2.24,30.27,53.03,0.00,96.10,-12.04028,-77.04361,1000.78,19.46
103,10069,150122,PE,Subgerencia de Desarrollo Ambiental,3/24/21 6:00,2242.04,48.76,21.23,,10.05,2.83,29.72,67.89,0.00,96.10,-12.04028,-77.04361,1001.14,19.17
104,10069,150122,PE,Subgerencia de Desarrollo Ambiental,3/24/21 7:00,2830.30,42.11,34.78,,6.02,2.26,32.43,78.72,0.04,96.10,-12.04028,-77.04361,1001.53,19.38
105,10069,150122,PE,Subgerencia de Desarrollo Ambiental,3/24/21 8:00,2981.35,28.14,14.43,,11.60,2.92,34.40,82.68,0.22,96.10,-12.04028,-77.04361,1002.34,19.73
106,10069,150122,PE,Subgerencia de Desarrollo Ambiental,3/24/21 9:00,3389.00,11.56,14.95,,10.53,3.65,36.54,84.90,0.48,92.76,-12.04028,-77.04361,1002.82,22.56
107,10069,150122,PE,Subgerencia de Desarrollo Ambiental,3/24/21 10:00,3336.06,11.60,17.40,,5.43,2.36,40.55,87.32,0.52,89.95,-12.04028,-77.04361,1003.17,21.97
108,10069,150122,PE,Subgerencia de Desarrollo Ambiental,3/24/21 11:00,3419.35,,17.52,,5.18,2.29,,88.16,1.11,91.31,-12.04028,-77.04361,1003.09,21.99
109,10069,150122,PE,Subgerencia de Desarrollo Ambiental,3/24/21 12:00,3441.41,9.41,13.16,4.64,4.22,1.76,44.49,88.66,3.16,88.46,-12.04028,-77.04361,1002.61,22.41
110,10069,150122,PE,Subgerencia de Desarrollo Ambiental,3/24/21 13:00,3106.03,8.33,14.90,13.31,2.53,1.27,44.20,88.57,1.15,87.31,-12.04028,-77.04361,1001.78,22.33
111,10069,150122,PE,Subgerencia de Desarrollo Ambiental,3/24/21 14:00,3325.16,9.24,7.61,30.50,2.71,1.28,46.68,90.04,3.36,87.33,-12.04028,-77.04361,1001.08,22.54
112,10069,150122,PE,Subgerencia de Desarrollo Ambiental,3/24/21 15:00,3588.22,10.42,3.95,10.70,3.80,1.52,50.15,88.27,3.06,81.69,-12.04028,-77.04361,1000.33,23.61
113,10069,150122,PE,Subgerencia de Desarrollo Ambiental,3/24/21 16:00,3609.15,11.56,8.65,7.27,4.14,1.63,50.48,90.20,1.69,79.24,-12.04028,-77.04361,999.85,24.14
114,10069,150122,PE,Subgerencia de Desarrollo Ambiental,3/24/21 17:00,3499.51,12.25,18.51,0.68,6.32,2.22,48.16,90.06,0.57,79.26,-12.04028,-77.04361,1000.04,23.73
115,10069,150122,PE,Subgerencia de Desarrollo Ambiental,3/24/21 18:00,3357.60,11.06,26.91,8.62,6.58,2.17,42.79,86.38,0.21,79.71,-12.04028,-77.04361,1000.51,23.14
116,10069,150122,PE,Subgerencia de Desarrollo Ambiental,3/24/21 19:00,3134.05,9.94,33.43,16.36,6.68,2.34,40.24,86.57,0.02,84.61,-12.04028,-77.04361,1001.43,21.86
117,10069,150122,PE,Subgerencia de Desarrollo Ambiental,3/24/21 20:00,2917.09,8.14,32.31,31.49,5.68,2.44,38.91,87.50,0.00,88.83,-12.04028,-77.04361,1001.97,20.96
118,10069,150122,PE,Subgerencia de Desarrollo Ambiental,3/24/21 21:00,2725.17,6.39,29.30,32.52,6.27,2.48,37.29,84.38,0.00,90.19,-12.04028,-77.04361,1002.57,20.81
119,10069,150122,PE,Subgerencia de Desarrollo Ambiental,3/24/21 22:00,2371.79,4.22,25.00,27.63,4.75,2.22,36.67,81.09,0.00,91.84,-12.04028,-77.04361,1002.95,20.49
120,10069,150122,PE,Subgerencia de Desarrollo Ambiental,3/24/21 23:00,2274.10,2.97,23.09,23.40,5.40,2.46,35.91,68.37,0.00,92.38,-12.04028,-77.04361,1003.16,20.56
121,10069,150122,PE,Subgerencia de Desarrollo Ambiental,3/25/21 0:00,2186.33,2.44,21.97,21.11,6.15,2.63,35.87,62.51,0.00,93.22,-12.04028,-77.04361,1002.65,20.41
122,10069,150122,PE,Subgerencia de Desarrollo Ambiental,3/25/21 1:00,2129.99,1.90,20.44,20.50,4.94,2.36,36.22,57.95,0.00,94.83,-12.04028,-77.04361,1002.12,20.22
123,10069,150122,PE,Subgerencia de Desarrollo Ambiental,3/25/21 2:00,2085.48,6.49,20.67,20.25,8.26,3.18,35.65,58.60,0.00,96.02,-12.04028,-77.04361,1001.60,19.84
124,10069,150122,PE,Subgerencia de Desarrollo Ambiental,3/25/21 3:00,2179.57,21.64,20.98,22.00,8.05,3.13,35.50,60.28,0.00,96.10,-12.04028,-77.04361,1001.27,19.31
125,10069,150122,PE,Subgerencia de Desarrollo Ambiental,3/25/21 4:00,2217.31,22.23,19.88,22.07,8.94,3.43,35.57,55.47,0.00,96.10,-12.04028,-77.04361,1000.75,19.29
126,10069,150122,PE,Subgerencia de Desarrollo Ambiental,3/25/21 5:00,2213.31,28.97,19.63,20.57,7.81,3.26,35.31,56.91,0.00,96.10,-12.04028,-77.04361,1000.56,19.05
127,10069,150122,PE,Subgerencia de Desarrollo Ambiental,3/25/21 6:00,2306.20,36.77,20.95,23.01,7.12,3.04,35.54,66.54,0.00,96.10,-12.04028,-77.04361,1001.10,18.79
128,10069,150122,PE,Subgerencia de Desarrollo Ambiental,3/25/21 7:00,2683.43,30.97,22.62,27.17,7.94,3.31,36.73,78.65,0.05,96.10,-12.04028,-77.04361,1001.75,19.06
129,10069,150122,PE,Subgerencia de Desarrollo Ambiental,3/25/21 8:00,3474.47,7.85,20.70,31.10,9.47,3.79,38.14,82.34,0.18,93.31,-12.04028,-77.04361,1002.36,21.63
130,10069,150122,PE,Subgerencia de Desarrollo Ambiental,3/25/21 9:00,3578.66,7.76,15.02,16.34,11.66,4.20,39.89,84.73,0.26,84.18,-12.04028,-77.04361,1002.84,22.86
131,10069,150122,PE,Subgerencia de Desarrollo Ambiental,3/25/21 10:00,3326.51,6.97,15.38,23.76,7.11,2.95,40.92,87.06,0.37,87.53,-12.04028,-77.04361,1003.22,21.98
132,10069,150122,PE,Subgerencia de Desarrollo Ambiental,3/25/21 11:00,3166.71,6.69,14.32,20.30,4.84,2.22,42.29,88.36,0.80,89.48,-12.04028,-77.04361,1003.31,21.47
133,10069,150122,PE,Subgerencia de Desarrollo Ambiental,3/25/21 12:00,3168.12,6.66,13.74,26.75,3.49,1.80,43.85,89.06,3.03,87.93,-12.04028,-77.04361,1002.95,21.71
134,10069,150122,PE,Subgerencia de Desarrollo Ambiental,3/25/21 13:00,3425.03,8.17,14.34,22.05,3.09,1.76,44.59,88.03,1.12,84.06,-12.04028,-77.04361,1002.48,22.31
135,10069,150122,PE,Subgerencia de Desarrollo Ambiental,3/25/21 14:00,3316.95,7.93,5.48,27.20,3.66,1.80,47.41,91.51,3.32,84.72,-12.04028,-77.04361,1001.64,22.26
136,10069,150122,PE,Subgerencia de Desarrollo Ambiental,3/25/21 15:00,3529.98,8.91,4.38,20.34,3.83,1.78,49.60,88.61,2.99,82.56,-12.04028,-77.04361,1000.82,22.94
